iter	RMSE
133	0.1477235608
134	0.1475011979
135	0.1472457498
136	0.1470700231
137	0.1468140057
138	0.1465582535
139	0.1464346772
140	0.1461712517
141	0.1459065812
142	0.1455738958
143	0.1454241613
144	0.1450906939
145	0.1449920452
146	0.1447993353
147	0.1447840986
148	0.1445502702
149	0.1443635589
150	0.1441621503
151	0.1440063273
152	0.1438071569
153	0.1436534431
154	0.1433832598
155	0.1431439055
156	0.1430177021
157	0.143004593
158	0.1428421167
159	0.1426286436
160	0.1424289876
161	0.1422239381
162	0.1422135868
163	0.1419772296
164	0.1419669384
165	0.141764721
166	0.1414625007
167	0.1414167958
168	0.1412079672
169	0.1410770644
170	0.1409517609
171	0.1408640334
172	0.1408515833
173	0.1408356376
174	0.1408232768
175	0.1406453588
176	0.140484137
177	0.140474415
178	0.1401738743
179	0.1399511023
180	0.1397113081
181	0.1394874916
182	0.1393634046
183	0.1392125001
184	0.1391026775
185	0.139092053
186	0.1390827575
187	0.1390326527
188	0.1388957182
189	0.1387133331
190	0.1387041968
191	0.1385618768
192	0.1384515735
193	0.1384388435
194	0.1382337486
195	0.1382229924
196	0.1381386261
197	0.138003015
198	0.1378736916
199	0.1376512506
200	0.1375292176
201	0.1373899269
202	0.1372285923
203	0.1370432749
204	0.1370344581
205	0.1368427386
206	0.1368309591
207	0.136666959
208	0.1365944823
209	0.1363942879
210	0.1362401729
211	0.1360783633
212	0.1360662206
213	0.1360539263
214	0.1359547906
215	0.1359430164
216	0.1357624352
217	0.1357520657
218	0.1356453302
219	0.1355057841
220	0.1354122974
221	0.1352469424
222	0.13514266
223	0.1350855358
224	0.1350733218
225	0.134904511
226	0.1348926991
227	0.1347144975
228	0.1347037979
229	0.1345956323
230	0.1345532942
231	0.1345223638
232	0.1343328537
233	0.1342191851
234	0.134114895
235	0.1339823577
236	0.133970595
237	0.1338469631
238	0.133838164
239	0.1337653272
240	0.1337126405
241	0.1335622349
242	0.1334154882
243	0.1333063064
244	0.1332185087
245	0.1330256437
246	0.1329856426
247	0.1328659199
248	0.1328573729
249	0.1328487371
250	0.1328397532
251	0.1328311792
252	0.1326772618
253	0.1326686256
254	0.1326601959
255	0.1325263123
256	0.1324369595
257	0.1324006875
258	0.1322649336
259	0.1322257155
260	0.1321873734
261	0.1321157618
262	0.1320767657
263	0.1319664638
264	0.1318462054
265	0.1318372016
266	0.1318021075
267	0.1316855494
268	0.131648593
269	0.1315179854
270	0.1315099657
271	0.1314988131
272	0.1313968555
273	0.1312710539
274	0.131263065
275	0.1312137734
276	0.1311781535
277	0.1311671232
278	0.1311317739
279	0.1311211208
280	0.1311104842
281	0.1310995839
282	0.1310649355
283	0.1310289621
284	0.131018441
285	0.1310079703
286	0.1309973544
287	0.1309631042
288	0.1309276953
289	0.1308874515
290	0.1308771422
291	0.1307896574
292	0.1307792677
293	0.1307037141
294	0.1306728762
295	0.1306391391
296	0.1306287424
297	0.1305996367
298	0.1305896016
299	0.1305557731
300	0.1305205579
301	0.1305104947
302	0.1304785634
303	0.130446678
304	0.1304368601
305	0.1304270832
306	0.1303943379
307	0.1302407309
308	0.1302306755
309	0.1301964453
310	0.1301867694
311	0.1300750492
312	0.1300654169
313	0.1300335313
314	0.1300239915
315	0.1299903544
316	0.1299588115
317	0.1299493732
318	0.1299313589
319	0.1299216414
320	0.1298910341
321	0.1298582833
322	0.1298242112
323	0.1298149767
324	0.1297849412
325	0.1296418398
326	0.1296095049
327	0.1295129086
328	0.1294832838
329	0.1294662708
330	0.1294347472
331	0.1294033307
332	0.1293072292
333	0.1292762332
334	0.1291436071
335	0.1291347705
336	0.1291060666
337	0.1290752684
338	0.1290589546
339	0.1290286017
340	0.1290006137
341	0.1289723727
342	0.1289424435
343	0.1289139796
344	0.1288843503
345	0.1287580304
346	0.1287285931
347	0.1287004581
348	0.1286918191
349	0.1285865604
350	0.1284465927
351	0.1284189608
352	0.1283922195
353	0.1282714885
354	0.1281284218
355	0.1281010337
356	0.128073901
357	0.1279768252
358	0.1279686754
359	0.1278617156
360	0.127835721
361	0.1278078328
362	0.1277285803
363	0.1277205509
364	0.1277125324
365	0.1277043397
366	0.1276896919
367	0.1276622471
368	0.1276541337
369	0.1275197924
370	0.1275112987
371	0.1275034282
372	0.1274955694
373	0.1273742753
374	0.127359838
375	0.1271912197
376	0.12718345
377	0.1271755005
378	0.1271610229
379	0.1271533217
380	0.1271389214
381	0.1271312505
382	0.127117171
383	0.1271030608
384	0.1270952599
385	0.1269711757
386	0.1268836035
387	0.1268760499
388	0.126861932
389	0.12685422
390	0.1268402646
391	0.126826356
392	0.1268184133
393	0.1268044208
394	0.1266707012
395	0.1266630868
396	0.1266552032
397	0.1266424572
398	0.1265649221
399	0.126551253
400	0.1265376632
401	0.1264434948
402	0.1264357394
403	0.1264232841
404	0.1264108754
405	0.1263984669
406	0.1263047386
407	0.1262975323
408	0.1262851911
409	0.1262729739
410	0.1262595144
411	0.1262473067
412	0.1262402042
413	0.1262280703
414	0.1260840958
415	0.126076861
416	0.126063682
417	0.126050545
418	0.1260396295
419	0.1260264569
420	0.1259151305
421	0.125908154
422	0.1257978136
423	0.1257859852
424	0.1257729956
425	0.1257599963
426	0.1257471131
427	0.1256696963
428	0.1256568761
429	0.1256498728
430	0.1256371461
431	0.1256256456
432	0.1255489086
433	0.1255421338
434	0.1255294698
435	0.1255181114
436	0.1255056045
437	0.1254943262
438	0.1254818634
439	0.1254750353
440	0.1254682282
441	0.1254616064
442	0.1253225093
443	0.1253157423
444	0.1253089967
445	0.1252966391
446	0.1252901003
447	0.1252808072
448	0.125199742
449	0.1251932719
450	0.1251810589
451	0.1251689197
452	0.1251623342
453	0.1251559431
454	0.1251438384
455	0.1250752356
456	0.1250688629
457	0.125062377
458	0.1249820019
459	0.1249713938
460	0.1249608283
461	0.1249545968
462	0.124948041
463	0.1249415059
464	0.124931448
465	0.1249251198
466	0.1248440511
467	0.1247522808
468	0.1247461488
469	0.1247400206
470	0.1247337738
471	0.1247276931
472	0.1247212863
473	0.1247096171
474	0.1247034327
475	0.1246356612
476	0.124629664
477	0.124497905
478	0.1244917775
479	0.1244856643
480	0.1244797085
481	0.124473633
482	0.1244675752
483	0.124461535
484	0.1244555123
485	0.1244496507
486	0.124443662
487	0.1244322283
488	0.1244264157
489	0.1243821904
490	0.1242660486
491	0.1241892185
492	0.1241833018
493	0.1241774022
494	0.1241715196
495	0.124165654
496	0.1241228544
497	0.1241165651
498	0.1239924761
499	0.123986776
500	0.1239809635
501	0.1239751678
502	0.123969389
503	0.1239636268
504	0.1239578814
505	0.1239521526
506	0.123910307
507	0.1239045962
508	0.123898902
509	0.1238932243
510	0.1238875632
511	0.1238820358
512	0.1238764069
513	0.1238707944
514	0.1237520465
515	0.1237464592
516	0.1237408882
517	0.123699843
518	0.1236942893
519	0.1236252408
520	0.1236197072
521	0.1236141897
522	0.1236086883
523	0.1235977267
524	0.1235922571
525	0.1235868034
526	0.1235285295
527	0.1235231088
528	0.1235177038
529	0.1235123147
530	0.1235070486
531	0.1235016903
532	0.1234964547
533	0.1234911269
534	0.1234858146
535	0.1234805178
536	0.1233680159
537	0.123362736
538	0.1233574713
539	0.123352222
540	0.1233469878
541	0.1233418736
542	0.1233366691
543	0.1233314797
544	0.1232660618
545	0.1232608891
546	0.1231965667
547	0.1231914107
548	0.1231862696
549	0.1231806828
550	0.1231755708
551	0.1231704737
552	0.1231653915
553	0.1230988636
554	0.1230433624
555	0.1230383063
556	0.123033265
557	0.1230282384
558	0.1230232265
559	0.1230182292
560	0.1230133492
561	0.1230083804
562	0.1229276326
563	0.1229226793
564	0.1229177405
565	0.122912919
566	0.1228476763
567	0.1228428745
568	0.1228379862
569	0.1228331121
570	0.1227588748
571	0.1227540142
572	0.1227491677
573	0.1227443355
574	0.1227395172
575	0.1226742211
576	0.1226695194
577	0.1226647371
578	0.1225991659
579	0.1225944051
580	0.1225897498
581	0.1225850162
582	0.1225802964
583	0.1225756796
584	0.1225134626
585	0.122453386
586	0.1224487968
587	0.1224441306
588	0.1224395687
589	0.1224350187
590	0.1224303919
591	0.1224257786
592	0.1223903239
593	0.1223857255
594	0.1223811406
595	0.1223766345
596	0.1223721574
597	0.1223676112
598	0.1223327341
599	0.1223282854
600	0.1223237666
601	0.1223192344
602	0.1223147419
603	0.1223103471
604	0.1223054127
605	0.1223009583
606	0.1222966011
607	0.1222514999
608	0.1222470725
609	0.1221977387
610	0.1221934212
611	0.1221890908
612	0.1221847986
613	0.1221804197
614	0.1221760681
615	0.1220706351
616	0.1220663046
617	0.1220351558
618	0.1220308548
619	0.1219834549
620	0.1219791792
621	0.121923512
622	0.1218367794
623	0.1218325997
624	0.1218284303
625	0.1218242708
626	0.1217909794
627	0.1217582276
628	0.1217265277
629	0.1216845121
630	0.1216802921
631	0.1216761693
632	0.1216448567
633	0.1216406617
634	0.1216102874
635	0.1216061054
636	0.1215513703
637	0.1215472727
638	0.1215168519
639	0.1214869071
640	0.1214827441
641	0.1214785937
642	0.121449451
643	0.1214453134
644	0.1213780147
645	0.1213699834
646	0.1213408943
647	0.1213307143
648	0.1213266775
649	0.1213225909
650	0.1213156765
651	0.1213087949
652	0.121304728
653	0.1213001995
654	0.1212482381
655	0.121210137
656	0.1212061768
657	0.1212022284
658	0.1211954337
659	0.1211914318
660	0.1211635938
661	0.1211596046
662	0.1211556983
663	0.1210840416
664	0.1210801648
665	0.1210741332
666	0.121070194
667	0.1210662663
668	0.120997108
669	0.1209932181
670	0.1209865744
671	0.1209826863
672	0.1209788838
673	0.1209750179
674	0.1209711633
675	0.1209613966
676	0.1209576357
677	0.1209088547
678	0.1208812898
679	0.1208774843
680	0.120789823
681	0.1207821288
682	0.1207783527
683	0.120770702
684	0.1207669211
685	0.1207631513
686	0.1207345175
687	0.1207307731
688	0.1206751157
689	0.120671381
690	0.1206677286
691	0.1206640341
692	0.120656435
693	0.1206200733
694	0.1206164593
695	0.120612776
696	0.1206091035
697	0.1206054417
698	0.1206017906
699	0.1205596294
700	0.1205560587
701	0.1205108697
702	0.1205073199
703	0.1205037742
704	0.1204505299
705	0.1204469949
706	0.1204434026
707	0.1204398207
708	0.1204363128
709	0.1204300449
710	0.1204265613
711	0.1204000824
712	0.1203965854
713	0.1203705293
714	0.1203670153
715	0.1203608119
716	0.120357364
717	0.1203538628
718	0.1202815714
719	0.1202776059
720	0.1202720525
721	0.1202379301
722	0.1202324027
723	0.1202288662
724	0.1202035009
725	0.1202001191
726	0.1201946284
727	0.1201891549
728	0.1201460742
729	0.1201426512
730	0.1201392803
731	0.1201358767
732	0.1201324097
733	0.120126975
734	0.1201236597
735	0.1201182483
736	0.1201149459
737	0.1201095575
738	0.1201041858
739	0.1200304328
740	0.1199975582
741	0.1199922246
742	0.1199818055
743	0.1199784963
744	0.1199749047
745	0.1198939401
746	0.1198906535
747	0.1198834231
748	0.1198800998
749	0.1198482827
750	0.1197819242
751	0.1197766729
752	0.1197274335
753	0.1196775981
754	0.1196156778
755	0.1196124237
756	0.1196053349
757	0.1196020928
758	0.1195988399
759	0.1195956166
760	0.1195904239
761	0.1195869832
762	0.119583578
763	0.1195765486
764	0.1195458742
765	0.1194621805
766	0.1194222471
767	0.1194190119
768	0.1194158495
769	0.1194126963
770	0.1193185863
771	0.1193129385
772	0.1193078203
773	0.1192835725
774	0.1192512119
775	0.119248071
776	0.1191547087
777	0.1191153716
778	0.1191122533
779	0.1191089435
780	0.1191058336
781	0.1191027507
782	0.1190996822
783	0.1190253625
784	0.1190221067
785	0.1190190765
786	0.1190136133
787	0.1190081494
788	0.1190031286
789	0.1189977017
790	0.1189922976
791	0.1189324686
792	0.1188999729
793	0.118896914
794	0.118893925
795	0.1188326232
796	0.1188294312
797	0.1188067003
798	0.1187642965
799	0.1187611452
800	0.1187562182
801	0.118753299
802	0.1187053234
803	0.1187000453
804	0.1186951768
805	0.1186261263
806	0.1185866573
807	0.118583285
808	0.1184915522
809	0.118488705
810	0.118485866
811	0.1184829859
812	0.1184750064
813	0.1184711072
814	0.118468293
815	0.1184407053
816	0.1184355674
817	0.1184132474
818	0.1183427344
819	0.1183399255
820	0.1183371234
821	0.1183343711
822	0.1182940924
823	0.1182725743
824	0.1182673952
825	0.1182459562
826	0.1182408474
827	0.1182372125
828	0.1182342517
829	0.1182305046
830	0.118227556
831	0.1181426913
832	0.1180679455
833	0.1179849294
834	0.1179724578
835	0.117969483
836	0.1179483778
837	0.1179456501
838	0.1179250825
839	0.117917432
840	0.117854232
841	0.1178270833
842	0.1178241513
843	0.1178165527
844	0.1178129644
845	0.1177808973
846	0.1177191925
847	0.1176988718
848	0.1176959971
849	0.117692466
850	0.1176896026
851	0.1176869237
852	0.1176672268
853	0.1176597905
854	0.1176401199
855	0.1176315614
856	0.1176286961
857	0.1176260839
858	0.1176199806
859	0.1176165134
860	0.1175972714
861	0.1175785639
862	0.117545715
863	0.1175431153
864	0.1175402526
865	0.1175374532
866	0.117518792
867	0.1175072294
868	0.1175044039
869	0.1174963963
870	0.1174784168
871	0.1174756194
872	0.1174579161
873	0.1174166011
874	0.1173991528
875	0.1173914642
876	0.117388656
877	0.1173544407
878	0.1173291779
879	0.1173232807
880	0.1173174143
881	0.1173146391
882	0.1173120841
883	0.1173087198
884	0.1173059964
885	0.1172983825
886	0.1172388368
887	0.1172354756
888	0.117218454
889	0.1171743481
890	0.1171716561
891	0.1171689728
892	0.1171662991
893	0.1171629422
894	0.1171599835
895	0.1171491522
896	0.117143383
897	0.1171407285
898	0.1171380834
899	0.1170865561
900	0.117083824
901	0.1170793042
902	0.1170339386
903	0.1170310261
904	0.1169527167
905	0.1169500877
906	0.1169471924
907	0.1169445774
908	0.1169316487
909	0.1169292203
910	0.116922832
911	0.1169195849
912	0.1169123039
913	0.1168961145
914	0.1168935334
915	0.1168903159
916	0.1168831734
917	0.1168786939
918	0.1168391512
919	0.1168335767
920	0.1168273151
921	0.1168114807
922	0.1168010551
923	0.1167987165
924	0.1167736682
925	0.1167200634
926	0.1166454742
927	0.1166429459
928	0.1166398234
929	0.1166372986
930	0.1166307691
931	0.1166253566
932	0.1166222503
933	0.1166197492
934	0.1165781213
935	0.1165209247
936	0.1165148849
937	0.116510641
938	0.1164863485
939	0.1164624157
940	0.1164599598
941	0.1164013236
942	0.1163814921
943	0.1163790392
944	0.116376608
945	0.1163741888
946	0.1163711289
947	0.1163228041
948	0.1163203928
949	0.1163151139
950	0.116308832
951	0.1162885877
952	0.1162861887
953	0.1162831502
954	0.1162692442
955	0.1162652577
956	0.1162610395
957	0.116186404
958	0.1161591232
959	0.1161567422
960	0.1161254395
961	0.1161188632
962	0.1161164784
963	0.1161105694
964	0.1160457403
965	0.1160427241
966	0.1160403222
967	0.1159912402
968	0.1159888631
969	0.1159525178
970	0.1159484856
971	0.1159225455
972	0.115918595
973	0.115916242
974	0.115913893
975	0.1158733039
976	0.1158661845
977	0.1158638753
978	0.1158608944
979	0.1158512349
980	0.1158472863
981	0.1158422499
982	0.1158393409
983	0.115835649
984	0.1158306562
985	0.1158269874
986	0.1158213564
987	0.1158071676
988	0.1158035046
989	0.115762766
990	0.1157572048
991	0.1157440375
992	0.1157404285
993	0.1157376049
994	0.115732099
995	0.1157281399
996	0.1157258706
997	0.1157219069
998	0.1157181157
999	0.1157141761
